Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,KAN,Eric Fisher\FishEr00,T,22,2018,0,1,6,48,48,94,0,0,0,0,0,0,0,0,0,-5,0,2,,,Central Michigan,
1,2,JAX,Luke Joeckel\JoecLu00,T,21,2017,0,0,3,22,17,50,0,0,0,0,0,0,0,0,0,0,0,2,,,Texas A&M,College Stats
1,3,MIA,Dion Jordan\JordDi00,DE,23,2018,0,0,0,7,3,43,0,0,0,0,0,0,0,0,0,0,0,66,,8.5,Oregon,College Stats
1,4,PHI,Lane Johnson\JohnLa01,T,23,2018,1,2,5,43,43,80,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,
1,5,DET,Ezekiel Ansah\AnsaEz00,DE,24,2018,0,1,5,37,37,80,0,0,0,0,0,0,0,0,0,0,0,162,,48.0,BYU,College Stats
1,6,CLE,Barkevious Mingo\MingBa00,LB,22,2018,0,0,2,22,10,94,0,0,0,0,0,0,0,0,0,0,0,141,1,10.0,LSU,College Stats
1,7,ARI,Jonathan Cooper\CoopJo01,G,23,2018,0,0,2,14,6,46,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats
1,8,STL,Tavon Austin\AustTa00,WR,23,2018,0,0,4,24,22,82,0,1,0,0,0,190,1293,9,202,1829,14,2,,,West Virginia,College Stats
1,9,NYJ,Dee Milliner\MillDe00,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama,College Stats
1,10,TEN,Chance Warmack\WarmCh00,G,21,2018,0,0,3,21,19,68,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats
1,11,SDG,D.J. Fluker\FlukDJ00,T,22,2018,0,0,5,34,29,78,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,
1,12,OAK,D.J. Hayden\HaydDJ00,DB,23,2018,0,0,1,13,9,71,0,0,0,0,0,0,0,0,0,0,0,235,4,2.5,Houston,College Stats
1,13,NYJ,Sheldon Richardson\RichSh00,DT,22,2018,0,1,5,49,34,89,0,0,0,0,0,4,4,2,0,0,0,195,1,23.5,Missouri,College Stats
1,14,CAR,Star Lotulelei\LotuSt00,DT,23,2018,0,0,5,36,30,92,0,0,0,0,0,0,0,0,0,0,0,98,,11.5,Utah,College Stats
1,15,NOR,Kenny Vaccaro\VaccKe00,DB,22,2018,0,0,6,27,21,81,0,0,0,0,0,0,0,0,0,0,0,324,9,9.5,Texas,College Stats
1,16,BUF,EJ Manuel\ManuEJ00,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,2,,,Florida St.,College Stats
1,17,PIT,Jarvis Jones\JoneJa05,LB,23,2016,0,0,2,18,18,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6.0,Georgia,College Stats
1,18,SFO,Eric Reid\ReidEr00,DB,21,2018,0,1,5,29,26,83,0,0,0,0,0,0,0,0,0,0,0,314,11,2.0,LSU,College Stats
1,19,NYG,Justin Pugh\PughJu00,T,23,2018,0,0,4,27,26,70,0,0,0,0,0,0,0,0,0,0,0,4,,,Syracuse,College Stats
1,20,CHI,Kyle Long\LongKy00,G,24,2018,0,3,6,39,39,73,0,0,0,0,0,0,0,0,1,-1,0,4,,,Oregon,
1,21,CIN,Tyler Eifert\EifeTy00,TE,22,2018,0,1,2,14,14,43,0,0,0,0,0,0,0,0,142,1716,21,6,,,Notre Dame,College Stats
